,d5,d10,d16,d17,d20,d25,d50,d60,d75,d84,d90,d95,perc_lutum,perc_silt,perc_sand,soil_class
0,0.004236092122075604,0.007443164400335446,0.011087220120247598,0.011783253771092132,0.014144673083962242,0.017615999234046324,0.03515972338710208,0.043681753879906644,0.06097942213301255,0.07731583007060858,0.0946846526246075,0.120045666332828,10.639979,65.801042,23.55897899999998,lz3
1,0.004901247261015088,0.008820387500831472,0.013773317506627053,0.014835324196879815,0.017381040380604423,0.021416999055274152,0.042714242399426734,0.05260849267063585,0.07163422433145551,0.08983377389825922,0.10999845466077682,0.15558082970913212,8.685689,60.46634300000001,30.847966,lz3
2,0.06303139142789659,0.077000351170779,0.08549006670601629,0.08699336850063133,0.09006366383171446,0.09463682506073937,0.11746023767396618,0.12714558179910315,0.14492960970504473,0.1612202829852599,0.17561758606766545,0.20746709301191257,1.05,3.9400000000000004,95.00999999999999,zs1
3,0.07401452108681886,0.08286701067938228,0.09074194827375293,0.09163873170707161,0.09438260954926786,0.09913952468943442,0.1209590072837239,0.13064471665645352,0.14720910000085913,0.1630958312715949,0.17591006673086662,0.20395131012335804,0.19,2.1300000000000003,97.7,zs1
4,0.08377650504650744,0.10818011952892402,0.12581795440334828,0.12774093129415,0.1336880080259502,0.14422141181329537,0.191331329626113,0.2121591857206209,0.2521325900686915,0.28901215471423886,0.32588341473600646,0.3770307723580936,0.39,2.42,97.17999999999998,zs1
5,0.05794280160128001,0.07431327575551365,0.08818007834210899,0.09000125432838094,0.09569358116758991,0.10577188899989644,0.15266677941672505,0.17483000374893895,0.22040974988712858,0.26323873510230006,0.3074635890868753,0.3796331176312455,0.63,5.42,93.95,zs1
6,0.05754243306345201,0.07442442095793755,0.08464070698220952,0.08642084893555715,0.09022299276349781,0.09566442392615779,0.12214930133218971,0.13355954264489636,0.15380580469599142,0.17187617658151735,0.1930967844365148,0.2341350956369062,0.68,5.210000000000001,94.10999999999999,zs1
7,0.06403471259663993,0.07711093446702015,0.0867785868578598,0.0882685488867102,0.09109519092516978,0.09600884008005692,0.12011111154803755,0.13073185870301146,0.14912081015717837,0.16767091989177632,0.1876606531019896,0.24024025022635098,0.6,4.03,95.37000000000003,zs1
8,0.0015654897123439893,0.0030852796868406597,0.005098996844981388,0.0054501793495456904,0.006655626553956348,0.008886014661780703,0.024817883115864747,0.03425063384455231,0.05587270068757465,0.07449099778511202,0.09127413688475607,0.11307404475883782,22.762252,55.99512800000001,21.242621,ks4
9,0.008566196125495504,0.034257883343575365,0.057325720951866416,0.05991067455439668,0.06537874953296732,0.07222799996817665,0.0964661715717826,0.10605281645085933,0.12263736242774864,0.13767578959320437,0.14950619695596362,0.17356170881107663,4.78,13.36,81.88000000000001,zs3
10,0.014346158723470434,0.04708955019583342,0.06976469030045361,0.07221048112414954,0.07761250291556487,0.08493063840265157,0.111442252310482,0.12184883121572022,0.14127882247013057,0.15753769146713117,0.17343465670459876,0.20307577178934258,3.1799999999999997,9.860000000000001,86.96,zs2
11,0.04321607332485768,0.07059852714907507,0.08731847545262887,0.08926654168988464,0.09451763821244537,0.10396482962958974,0.1428243310460695,0.1607612600894943,0.1960451185985792,0.22885343736139274,0.2622292059875523,0.30757826599647975,1.4300000000000002,6.48,92.08000000000001,zs1
12,0.06795837764924828,0.08816337882680475,0.0997681261683595,0.1018456334422904,0.10727939701221496,0.11513233858562176,0.16264009277799882,0.19384503589558305,0.2726935220667141,0.338065857628326,0.3979508184666276,0.4844587498859096,1.0699999999999998,3.1999999999999997,95.72000000000003,zs1
