F0_01-0_1,F0_1-0_2,F0_2-0_5,F0_5-1,F1-2,F2-4,F4-8,F8-16,F16-25,F25-35,F35-50,F50-63,F63-75,F75-88,F88-105,F105-125,F125-150,F150-177,F177-210,F210-250,F250-300,F300-354,F354-420,F420-500,F500-600,F600-707,F707-850,F850-1000,F1000-1190,F1190-1410,F1410-1680,F1680-2000,Kf,lithoclass
0.0,0.0,0.0,0.0,0.13,0.61,0.94,0.9,0.5,0.38,1.03,2.02,2.6,3.39,5.41,8.01,11.95,13.37,14.28,12.64,9.75,5.86,3.49,1.2,0.04,0.04,0.72,0.61,0.11,0.0,0.0,0.0,0.11,zm
0.0,0.0,0.0,0.0,0.12,0.57,1.0,1.16,0.59,0.36,0.88,1.54,1.96,2.8,5.13,8.29,12.58,13.8,14.41,12.64,9.83,5.97,3.48,1.13,0.03,0.35,1.03,0.35,0.0,0.0,0.0,0.0,0.6400000000000001,zm
0.0,0.0,0.0,0.0,0.0,0.31884,0.777857,0.899602,0.761209,0.9845,1.835854,2.510908,2.573071,2.714448,3.86176,5.962826,9.777253,11.544227,12.426722,11.120158,9.630599,7.10578,5.144201,2.794279,1.53597,1.612623,1.996953,1.654926,0.455438,0.0,0.0,0.0,0.13,zm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.180231,0.172729,0.552669,1.270874,1.832645,2.775303,5.188406,8.512573,13.091167,14.401535,14.767121,12.436833,9.373495,5.757605,3.52906,1.445203,0.50934,1.15276,1.702231,1.123774,0.224446,0.0,0.0,0.0,0.96,zm
0.0,0.0,0.0,0.0,0.0,0.318591,0.762292,0.674364,0.433782,0.360485,0.495447,0.697744,0.854866,1.272142,2.654077,5.00734,8.680361,10.627045,12.206331,11.741185,10.286576,7.384705,5.647658,3.848704,2.873352,2.711175,3.273473,3.095449,2.752688,1.263733,0.076434,0.0,0.94,zm
0.0,0.0,0.117084,1.075401,1.052325,3.16233,5.813436,8.477344,5.822137,3.306315,2.619145,1.490824,1.235779,1.694168,3.006823,4.273217,5.7631,6.203464,7.236305,7.752871,7.808986,6.224924,5.045905,3.656057,2.786311,2.055847,1.60885,0.654721,0.056331,0.0,0.0,0.0,0.00036,kz
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029409,0.158714,0.265515,0.395905,0.538631,0.850033,1.326269,2.204099,3.172958,4.901033,7.08903,10.080015,11.736315,16.195432,15.934916,15.346327,9.085726,0.689674,0.0,25.0,zg
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125487,0.123896,0.125214,0.238783,0.544281,0.935315,1.493899,1.907071,2.706308,3.821425,5.582453,6.751493,8.467958,9.630933,10.667293,10.189124,12.153773,10.645056,9.093222,4.505394,0.291622,0.0,3.9,zg
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094276,0.143119,0.220382,0.401984,0.607591,0.96246,1.276311,1.801062,2.412075,3.365264,4.182274,5.853192,7.904719,10.694938,11.946589,15.526239,13.926914,12.572993,5.557405,0.550212,0.0,18.0,zg
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083534,0.103614,0.103487,0.159513,0.259573,0.422864,0.543103,0.706989,0.850104,1.394632,2.702144,5.45636,8.925982,12.324952,12.767317,15.669886,14.551066,13.937641,8.391064,0.646176,0.0,33.0,zg
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020621,0.103532,0.145037,0.303451,0.506354,0.824258,1.30914,2.500732,4.345634,7.624265,11.330152,14.668359,14.270734,15.877943,12.593292,10.277571,3.093044,0.205881,0.0,23.0,zg
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007531,0.114704,0.280455,0.545048,0.869218,1.41276,1.867579,2.646413,3.618696,5.054354,5.852329,7.038386,7.72555,8.581057,8.679444,11.339219,11.167752,11.460817,8.196489,3.475785,0.066413,14.0,zg
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012113,0.164966,0.311676,0.627173,1.018482,1.573464,1.932758,2.627034,3.560123,4.935064,5.626836,6.693803,7.309603,7.999482,7.866998,10.17078,10.42571,11.633753,9.442033,5.09017,0.977978,24.0,zg
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026515,0.151272,0.310481,0.558065,0.784842,1.169615,1.648485,2.32997,2.722246,3.42265,4.299622,6.277201,8.822908,15.396028,18.143696,19.488218,13.01327,1.434916,0.0,28.0,zg
