,F0_01-0_1,F0_1-0_2,F0_2-0_5,F0_5-1,F1-2,F2-4,F4-8,F8-16,F16-25,F25-35,F35-50,F50-63,F63-75,F75-88,F88-105,F105-125,F125-150,F150-177,F177-210,F210-250,F250-300,F300-354,F354-420,F420-500,F500-600,F600-707,F707-850,F850-1000,F1000-1190,F1190-1410,F1410-1680,F1680-2000,Kf,soil_class
999,0.0,0.17,0.8200000000000001,1.73,3.09,3.95,5.3500000000000005,8.5,7.82,7.37,9.92,7.84,6.51,6.25,6.67,6.15,5.61,3.67,3.12,2.26,1.61,0.89,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000357605982110592,ks4
1000,0.0,0.03,0.09,0.18,0.3,0.3,0.32,0.34,0.25,0.22,0.31,0.27,0.28,0.37,0.7000000000000001,1.22,2.22,4.14,7.15,12.05,17.18,17.43,16.9,10.99,5.22,1.32,0.23,0.01,0.0,0.0,0.0,0.0,21.8670270286274,zs1
1001,0.0,0.33,1.49,2.95,6.3,12.18,13.77,9.73,6.99,6.37,8.02,5.44,3.77,3.09,2.8000000000000003,2.34,2.02,1.47,1.5,1.52,1.6500000000000001,1.6,1.79,1.59,0.93,0.29,0.05,0.0,0.0,0.0,0.0,0.0,0.000309367477756224,ks2
1002,0.0,0.04,0.15,0.31,0.54,0.58,0.73,0.97,0.76,0.65,0.8200000000000001,0.71,0.87,1.57,4.12,7.45,12.22,14.700000000000001,16.63,14.8,10.43,4.96,2.91,1.45,0.93,0.44,0.25,0.03,0.0,0.0,0.0,0.0,12.144891837689842,zs1
1003,0.0,0.0,0.38,0.9,1.69,2.07,2.04,2.95,3.2600000000000002,3.5100000000000002,4.68,3.7600000000000002,3.5100000000000002,3.95,5.21,5.87,6.87,6.63,7.4,7.79,8.1,6.74,6.17,4.13,1.9000000000000001,0.42,0.06,0.0,0.0,0.0,0.0,0.0,0.0002740263586056,zs3
1004,0.0,0.0,0.39,1.37,2.63,3.3000000000000003,4.94,4.35,2.97,2.93,5.93,7.72,9.09,10.75,12.82,11.620000000000001,9.52,4.41,2.54,0.97,0.45,0.36,0.34,0.28,0.21,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.000192877560630144,kz2
1005,0.0,0.03,0.11,0.22,0.38,0.41000000000000003,0.49,0.54,0.39,0.33,0.51,0.51,0.57,0.77,1.37,2.23,3.8000000000000003,6.41,10.19,15.120000000000001,18.66,15.73,12.57,6.0,2.16,0.42,0.07,0.0,0.0,0.0,0.0,0.0,10.56299677867049,zs1
1006,0.0,0.02,0.08,0.16,0.21,0.15,0.17,0.17,0.12,0.11,0.15,0.14,0.15,0.21,0.39,0.61,1.04,3.2800000000000002,8.07,17.98,25.2,20.86,14.040000000000001,4.76,1.49,0.34,0.1,0.01,0.0,0.0,0.0,0.0,32.73166744135399,zs1
1007,0.0,0.0,0.05,0.55,0.81,0.52,0.52,0.65,0.67,0.9400000000000001,3.12,5.9,8.44,11.17,14.83,14.870000000000001,14.05,8.55,6.25,3.31,1.77,0.93,0.8200000000000001,0.6900000000000001,0.42,0.15,0.03,0.0,0.0,0.0,0.0,0.0,0.33838716378550504,zs2
1008,0.0,0.36,1.58,3.9,8.46,11.64,13.5,13.17,8.2,6.23,7.47,5.3500000000000005,4.09,3.73,3.8000000000000003,3.3000000000000003,2.72,1.36,0.81,0.29,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000101869144636896,ks2
1009,0.0,0.0,0.09,0.34,0.41000000000000003,0.14,0.1,0.11,0.15,0.22,0.6,1.32,2.6,4.61,8.79,12.08,16.06,15.59,15.32,10.75,5.69,2.17,1.33,0.86,0.53,0.12,0.03,0.0,0.0,0.0,0.0,0.0,0.902040200383166,zs1
1010,0.0,0.01,0.04,0.08,0.14,0.14,0.15,0.15,0.11,0.09,0.11,0.07,0.06,0.07,0.14,0.22,0.38,0.72,1.37,2.73,4.73,6.16,8.08,10.39,13.620000000000001,14.32,16.24,11.11,6.17,2.03,0.35000000000000003,0.01,32.08526451119732,zs1
1011,0.0,0.01,0.07,0.16,0.23,0.18,0.18,0.21,0.14,0.05,0.0,0.0,0.0,0.01,0.23,1.3,3.74,7.13,10.48,12.9,13.38,10.28,9.36,7.9,7.0,4.82,4.04,2.29,1.68,1.17,0.79,0.24,12.188483968211617,zs1
1012,0.0,0.02,0.07,0.15,0.23,0.21,0.23,0.23,0.16,0.15,0.24,0.25,0.27,0.37,0.79,1.72,3.65,6.83,10.07,12.33,12.68,9.83,9.17,8.08,7.47,5.3500000000000005,4.56,2.48,1.48,0.73,0.2,0.02,14.143824383439055,zs1
1013,0.0,0.02,0.07,0.15,0.23,0.2,0.21,0.28,0.25,0.28,0.41000000000000003,0.34,0.29,0.33,0.52,0.85,1.53,3.02,5.4,9.2,13.08,13.72,14.77,13.4,11.0,5.95,3.35,0.91,0.13,0.01,0.0,0.09,22.654771862067157,zs1
1014,0.0,0.01,0.07,0.16,0.22,0.13,0.13,0.12,0.08,0.08,0.12,0.12,0.14,0.21,0.42,0.81,1.61,3.59,6.68,11.700000000000001,16.46,16.76,17.06,12.870000000000001,7.4,2.21,0.78,0.06,0.0,0.0,0.0,0.0,6.641236064895686,zs1
1015,0.0,0.01,0.08,0.19,0.29,0.27,0.27,0.28,0.17,0.14,0.19,0.18,0.18,0.23,0.43,0.8200000000000001,1.6400000000000001,3.47,6.2,10.38,14.530000000000001,14.96,15.700000000000001,13.23,9.48,4.2,2.21,0.25,0.02,0.0,0.0,0.0,3.474964725918375,zs1
1016,0.0,0.02,0.13,0.37,0.61,0.57,0.58,0.6,0.41000000000000003,0.38,0.62,0.58,0.65,1.12,3.44,7.38,13.61,17.73,20.25,16.73,8.99,2.7,1.23,0.6,0.43,0.23,0.06,0.0,0.0,0.0,0.0,0.0,5.241626381079302,zs1
1017,0.0,0.01,0.11,0.31,0.47000000000000003,0.36,0.34,0.34,0.26,0.28,0.5,0.52,0.67,1.27,3.61,6.97,12.030000000000001,15.200000000000001,17.6,16.24,11.790000000000001,5.64,3.21,1.4000000000000001,0.67,0.16,0.04,0.0,0.0,0.0,0.0,0.0,4.51736351650843,zs1
