,d10,d50,perc_lutum,perc_silt,perc_sand,logK
count,389.0,389.0,389.0,389.0,389.0,389.0
mean,0.0061291639583607,0.06734673331926722,13.55397729048843,46.40842771722366,40.03687522107969,-3.3527663776350805
std,0.0025881784774016057,0.047818564918939,4.2433545296690305,21.03432523139458,22.914677483769335,1.1615029055665829
min,0.0019717644008473896,0.015008175511114915,3.330277,6.710000000000001,0.29000000000000625,-6.102414868785618
25%,0.004183631463331838,0.031233271037788703,9.969999999999999,27.009999999999998,17.400000000000006,-4.221846900909614
50%,0.005217408279062261,0.054631596945023626,13.09,48.040000000000006,43.58000000000001,-3.4489466811266305
75%,0.008023531053788972,0.08577483770555254,16.540327,67.42999999999999,59.669999999999995,-2.611541040331011
max,0.016455153649225136,0.3098936387207389,24.86,82.31000000000002,83.55000000000001,-0.2234150775315644
