,d10,d50,perc_lutum,perc_silt,perc_sand,logK,porosity
count,1768.0,1768.0,1768.0,1768.0,1768.0,1768.0,1768.0
mean,0.1449213062490534,0.26865769640158077,1.3967873676470588,2.969066080316742,95.63345650622172,0.653256402163652,0.38919872228862507
std,0.07572027907579194,0.13458757208205957,1.3745683697575304,4.048236033966592,5.095698097170283,0.6470101059045645,0.03278799300323738
min,0.012340507450980464,0.06948963722147032,0.0,0.0,57.94999999999999,-2.585026652029182,0.279132075471698
25%,0.09118754858255382,0.1731949289411198,0.51,0.6200000000000003,94.57500000000002,0.3222192947339193,0.369245283018868
50%,0.1323885760276837,0.23026103140099102,0.9750000000000001,1.6199999999999999,97.46000000000002,0.752031441339346,0.38830943396226403
75%,0.18557904140609613,0.32717729989222544,1.8599999999999999,3.4925,98.74000000000001,1.0791812460476249,0.40708490566037747
max,0.5640008867366836,1.0590872752875962,7.84,37.84,100.02,2.230448921378274,0.632339622641509
