,d10,d50,perc_lutum,perc_silt,perc_sand,logK
count,3203.0,3203.0,3203.0,3203.0,3203.0,3203.0
mean,0.1361477079339964,0.2554918194059798,1.2544120549484856,3.8964738788635658,94.84877634842336,0.43781034121701384
std,0.07624319454774194,0.131566667272907,1.5766144167337461,6.09232228153417,7.327317014470354,0.8673426562651406
min,0.009342338918817417,0.06318021989721885,0.0,0.0,50.23235600000002,-4.655667172546343
25%,0.08477595085408249,0.1678277211472285,0.0,0.59,94.2093805,0.17267247628131588
50%,0.12517462565011894,0.2222444926918852,0.74,1.8166059999999997,97.44000000000001,0.6055178739359762
75%,0.17771773563952906,0.30820616388283795,1.6317020000000002,4.226494,98.98,0.972787983669885
max,0.5643419074872988,1.0139568716078402,7.99,46.14144699999999,100.02,2.088869201578115
