,DT,RF,XG,LR,SVR,ANN
training_set,0.041433763619716735,0.015829961635614495,0.004343707748108685,0.14236713747536678,0.1040509090953235,0.10151638016289062
testing_set,0.18768228353666638,0.15101011522305952,0.16801805262419542,0.1569352423066405,0.13428124135798222,0.13435742674827567
full_set,0.07071655550354036,0.04289657609825903,0.03711560711809438,0.1452840543929408,0.11010381498954362,0.10809201958100505
