,d10,d50,perc_lutum,perc_silt,perc_sand,logK
count,4320.0,4320.0,4320.0,4320.0,4320.0,4320.0
mean,0.10191331511378014,0.19936678335672217,7.505910466666667,15.478677500000002,77.0150435837963,-0.6333976508227145
std,0.08759451927781782,0.1490849479318894,12.90448528163021,21.760176395479586,32.586446432389444,2.0584768777277365
min,0.0004236563583438075,0.0027211683932857837,0.0,0.0,0.0,-6.704756027718125
25%,0.009653908674539833,0.08682336300790118,0.399067,0.9074999999999998,63.21249999999999,-2.063486257521107
50%,0.09538060502970941,0.18322813784933728,1.2730785,3.18,95.5183215,0.32296190675347647
75%,0.1554044502944373,0.26802334753478463,8.6,25.621457999999997,98.55,0.8486905701382672
max,0.5643419074872988,1.0139568716078402,85.16,82.31000000000002,100.02,2.088869201578115
