,d10,d50,perc_lutum,perc_silt,perc_sand,logK
count,728.0,728.0,728.0,728.0,728.0,728.0
mean,0.002472758240573475,0.022975724289136565,31.779058019230767,49.910168384615396,18.310457660714288,-3.8933492494123287
std,0.0013519301893105704,0.014926550181145077,13.674614447256133,11.106575796808794,14.418720332125599,1.2188645301282068
min,0.0004236563583438075,0.0027211683932857837,8.870000000000001,14.840000000000003,0.0,-6.704756027718125
25%,0.001525204884815653,0.01206108438682317,22.10376625,42.36500000000001,6.132499999999997,-4.743758656113667
50%,0.002200566722053237,0.018405951720432096,29.410000000000004,49.83,14.394999999999992,-4.058839984140917
75%,0.003067280515597441,0.03033265374095975,38.81,57.93869674999999,28.135000000000012,-3.278374330912203
max,0.008581107345264344,0.06298823065613446,85.16,73.63,49.97999999999996,0.2789364233010995
