,d10,d50,perc_lutum,perc_silt,perc_sand,logK,porosity
count,3326.0,3326.0,3326.0,3326.0,3326.0,3326.0,1768.0
mean,0.13898364017641168,0.2621867818312145,1.229736996091401,3.8290833782321108,94.94082433193024,0.47170064681192436,0.38919872228862507
std,0.08066460890634912,0.14270137144321793,1.549348579587201,6.012660728984619,7.215435775217304,0.8466353982627334,0.03278799300323738
min,0.009342338918817417,0.06318021989721885,0.0,0.0,50.23235600000002,-4.7447274948966935,0.279132075471698
25%,0.08525845774480051,0.16880247249171013,0.0,0.56895775,94.25578299999998,0.1760912590556812,0.369245283018868
50%,0.12527456163312634,0.22340251034657094,0.73,1.7606675,97.5201295,0.6232492903979004,0.38830943396226403
75%,0.1803167977715415,0.31256159556933055,1.60624225,4.18,99.0295815,1.0,0.40708490566037747
max,0.6795775426304523,1.0590872752875962,7.930000000000001,46.14144699999999,100.02,2.278753600952829,0.632339622641509
