,K_Hazen,app_Hazen,K_Hazen_simplified,app_Hazen_simplified,K_Slichter,app_Slichterd,K_Terzaghi,app_Terzaghi,K_Beyer,app_Beyer,K_Sauerbreij,app_Sauerbreij,K_Krueger,app_Krueger,K_KozenyCarman,app_KozenyCarman,K_Zunker,app_Zunker,K_Zamarin,app_Zamarin,K_USBR,app_USBR,K_Barr,app_Barr,K_AlyamaniSen,app_AlyamaniSen,K_Chapuis,app_Chapuis,K_KrumbeinMonk,app_KrumbeinMonk,K_Shepherd,app_Shepherd,K_VanBaaren,app_VanBaaren,K_Bear_KozenyCarman,app_Bear_KozenyCarman
1090,5.28587205734432e-05,0,8.488036615702765e-05,0,1.0650121735786236e-05,0,1.5721755861729094e-05,0,6.365564122070671e-05,0,5.467149333207891e-05,1,4.8741154380503376e-05,0,5.2071064370686234e-05,0,3.9590960623393615e-05,0,4.861194207682215e-05,0,0.00010391273760605175,0,1.1603804112702499e-05,1,0.00011962723359784198,1,1.419600248201686e-06,0,0.00026676909789735237,1,0.0030935920952254664,1,2.3314044391383003e-05,1,1.573827133879185e-05,1
1091,9.708049170388948e-06,0,1.4453191958328951e-05,0,2.005224070554546e-06,0,3.036632485714665e-06,0,1.1519937883652398e-05,0,9.484735853548108e-06,1,1.7273902481990752e-05,0,1.9471125346871853e-05,0,1.4393285318377696e-05,0,1.7759313560349788e-05,0,1.222807926835911e-05,0,2.2148825242750624e-06,1,3.7119430803467215e-05,1,1.4828067584461148e-07,0,5.329628206145145e-05,0,0.0009100803613760388,1,2.728208288694729e-05,1,3.004051241474353e-06,1
1092,9.146049240534895e-06,0,1.0036018544541183e-05,0,2.188268071589202e-06,0,3.5980919853320297e-06,0,9.32181939031683e-06,0,7.501185531324205e-06,1,1.3960448917149439e-05,0,2.069310729503767e-05,0,1.333539321599135e-05,0,1.634795488215791e-05,0,4.470349482787088e-06,0,2.603423909323344e-06,1,3.1062922504719045e-07,1,2.639251640664649e-07,0,2.1047651749561255e-05,0,0.0002441145516332022,1,2.8903152374891253e-06,1,3.5310309874997007e-06,1
1093,0.01841787818805607,1,0.012580309390351405,1,0.006438398816571764,1,0.011282843633015825,0,0.014607271089763906,1,0.013719643148202567,0,0.022789920817320862,0,0.0704184762016051,0,0.03259130367411727,0,0.032952483890804615,0,0.005737984146104953,1,0.009501972914027667,1,0.009062438331861385,1,0.012906418934740167,1,0.014907240663831147,1,0.01853447240998367,1,0.010717257626909385,1,0.012887551920246048,1
1094,0.020137356537006643,1,0.013224479296410232,1,0.007323480661139873,1,0.012866010714775772,0,0.015735644318392143,1,0.015652629045619943,0,0.022481829812657034,0,0.07288209472219152,0,0.032931686357863296,0,0.03260964915912837,0,0.005844440219949345,0,0.011098904932235427,1,0.011047652054754192,1,0.01627893014946745,1,0.014777813186317369,1,0.016238088472902687,1,0.012123984909913782,1,0.015053475195755806,1
1095,0.01531897583881434,0,0.009754167655745095,0,0.005751839088148225,0,0.010122886682353258,0,0.011849755788407206,1,0.012020653189179043,0,0.01570455799695215,0,0.05287619529544952,0,0.023442587415281328,0,0.022798844723348876,0,0.0038381942436736243,0,0.008912145746030718,1,0.009167453484730094,1,0.013565582522636723,0,0.010312871177639545,1,0.010729219567135713,1,0.006704506149466407,1,0.012087567714827984,1
1096,0.014930531639155878,0,0.009706778495402968,0,0.0054862661308483504,0,0.009644109319225087,0,0.011626531587022941,1,0.011568473179329686,0,0.01637435710575429,0,0.05371263304855919,0,0.024124786038336756,0,0.02375711538963621,0,0.003971607544827374,0,0.008373743269287215,1,0.008533749847286888,1,0.012171160196523513,0,0.01023867718744773,1,0.011759005895334934,1,0.006274382215943147,1,0.011357330959177228,1
1097,0.16114758989299843,1,0.09754305219033031,1,0.06385744320566848,1,0.11268054131745901,0,0.12306971482500298,1,0.14131354347800887,0,0.06968843366379127,0,0.23999604297365112,0,0.10451750814962397,0,0.09968005013050873,0,0.05352715510056029,1,0.10287080712005353,1,0.10609724281675847,1,0.1986290512032285,0,0.08292694519520553,1,0.05614740675225381,1,0.06300163288703485,1,0.13952395779618681,1
1098,0.24213307082316377,1,0.14131017604584056,1,0.09987302677075924,1,0.1765378422034208,0,0.1839569980614331,1,0.19826876834687376,0,0.16442200481279398,0,0.6188327804130639,0,0.25954631879961854,0,0.2374583827086797,0,0.06727899204629624,1,0.1658357668823641,1,0.1750376990649674,1,0.3385680450482951,0,0.12674869707218786,1,0.05803623126109192,1,0.07101678718162324,1,0.22492350538856357,1
1099,0.4007598722363229,1,0.2485692938093141,1,0.15469962086816297,1,0.2726431005382428,1,0.30774506090132386,1,0.3481593289287226,0,0.36120653759412613,0,1.2585314572907562,1,0.5486244200290649,0,0.524458713760593,0,0.16697795282088362,1,0.24447930915566557,1,0.24675224889257777,1,0.48832900639717647,1,0.26928443003006564,1,0.14244955173804627,1,0.23283656305883368,1,0.3315879574354626,1
1100,0.5145430450644856,1,0.31848178854640297,1,0.19906124944407202,1,0.35086363042304214,0,0.3949148241215191,1,0.42531025065273226,0,0.46810356130768976,0,1.6351904486276312,0,0.7118985296493889,0,0.6796128581150338,0,0.21134323402871888,1,0.31508948380163004,1,0.322794755284829,1,0.640024925278723,0,0.332308906773306,1,0.16887835398945392,1,0.2344014414829354,1,0.42735673093976245,1
1101,0.35136897889588303,1,0.21522679825005372,1,0.137461205503083,1,0.2424162695646756,0,0.26901395290711955,1,0.2984034725235951,0,0.2674286136442119,0,0.9464522768688524,0,0.4093633188886488,0,0.3880676329863725,0,0.13415422532951096,1,0.2193607114683072,1,0.22646878460431438,1,0.43730710862539035,0,0.20349740785918793,1,0.11458251514714107,1,0.1211907790794317,1,0.2975195345101876,1
1102,0.01990924638531956,1,0.01555578299542801,1,0.0061357645763448826,1,0.01063334433840575,0,0.01679899353208122,1,0.014914568969503847,0,0.019833106753755613,0,0.05026458093769787,0,0.025523554980669064,0,0.027640710182334247,0,0.00998943495375975,1,0.008370565958033632,1,0.005281001102415023,1,0.00976291300321895,0,0.021783243279335427,1,0.03878811028662518,1,0.02852790605325855,1,0.011353021563210953,1
