,DT,RF,XG,LR,SVR,ANN
training_set,0.90509803265894,0.9857589077639615,0.9990468350212108,0.8334427647772531,0.9619588049472999,0.9663289584573925
testing_set,0.861670516578853,0.8902699285601859,0.8828111488878955,0.8310737367386558,0.8504829780869343,0.8668342160899204
full_set,0.8963540229005502,0.9665318418046546,0.975642288730063,0.8329662864718007,0.9395127958031091,0.9462953775384081
