,d10,d50,perc_lutum,perc_silt,perc_sand,logK,porosity
count,485.0,485.0,485.0,485.0,485.0,485.0,0.0
mean,0.00480156795816234,0.03598224665147458,16.935849791752577,56.96144742886598,26.10307397731959,-3.455771109271822,
std,0.002568653246237987,0.012594134588736533,4.987555472443658,12.007962042420903,13.410340598220923,1.1945774817492731,
min,0.0015042985393377722,0.015008175511114915,3.107804,27.651761,0.29000000000000625,-5.958607314841775,
25%,0.0032828276833614814,0.025776120379413257,13.29,47.379999999999995,14.539793999999986,-4.337242168318426,
50%,0.004076188107481721,0.034121994410017106,17.53,58.01385799999999,25.43324300000001,-3.5850266520291822,
75%,0.005250065615982228,0.045454308150594494,21.107177,67.68,38.150000000000034,-2.744727494896694,
max,0.022804709339758433,0.0629903647088167,25.0,82.31000000000002,49.96999999999997,-0.0177287669604316,
