,d10,d50,perc_lutum,perc_silt,perc_sand,logK,porosity
count,4593.0,4593.0,4593.0,4593.0,4593.0,4593.0,1768.0
mean,0.10186956152106579,0.20214492107791168,7.367687988678425,15.864464099281518,76.76755797234922,-0.6325428111880051,0.38919872228862507
std,0.09128586932427064,0.15718874236278935,12.34300583683727,21.855019584563312,32.25080970694192,2.0501552324363463,0.03278799300323738
min,0.0004236563583438075,0.0027211683932857837,0.0,0.0,0.0,-6.657577319177793,0.279132075471698
25%,0.009127274047329144,0.08630392441307015,0.4,0.9,61.934523999999996,-1.958607314841775,0.369245283018868
50%,0.09334607864583876,0.18119298131397196,1.304814,3.3399999999999994,95.34000000000002,0.3010299956639812,0.38830943396226403
75%,0.15567957458408824,0.2688641193960828,8.95,26.9,98.55,0.8633228601204559,0.40708490566037747
max,0.6795775426304523,1.0590872752875962,85.16,82.31000000000002,100.02,2.278753600952829,0.632339622641509
