,d10,d50,perc_lutum,perc_silt,perc_sand,logK,porosity
count,782.0,782.0,782.0,782.0,782.0,782.0,0.0
mean,0.004218092557290571,0.04982991881619407,27.539384314578008,41.56477019053708,30.89542347826087,-3.578128510340325,
std,0.004961352270334158,0.0524805616702917,15.665692927647628,15.428279304671833,25.979417277856935,1.395287541260247,
min,0.0004236563583438075,0.0027211683932857837,1.205195,6.1,0.0,-6.657577319177793,
25%,0.0015800786896126647,0.013167056574226711,12.79,28.48,7.494999999999994,-4.619788758288394,
50%,0.002366129443325902,0.02054352944208583,28.055,43.355000000000004,20.284999999999993,-3.886056647693163,
75%,0.005617286884948034,0.08125009065618302,37.019999999999996,53.80239149999999,56.83882525,-2.744727494896694,
max,0.07250294586065358,0.3098936387207389,85.16,74.64,92.03120300000002,0.2787536009528289,
